id,firstname,lastname,country,age,height,width
100,Talya,Marden,HU,88,103,249.68
101,Vevay,Horan,BB,5,214,185.63
102,Marcy,Lay,LK,109,3,123.28
103,Elise,Weide,GH,59,166,149.53
104,Gavrielle,Colleen,CN,64,170,175.55
105,Dolli,Bibi,PY,66,101,69.89
106,Lexine,Wallis,SC,83,196,116.54
107,Demetris,Stoller,LU,57,117,200.6
108,Florencia,Concha,MT,3,201,129.49
109,Melanie,Granoff,HN,91,96,223.11
110,Demetris,Magnolia,EE,100,228,53.17
111,Rhea,Izaak,MX,45,223,175.56
112,Oralee,Naor,KR,69,51,103.17
113,Emylee,Bakerman,CZ,109,114,92.19
114,Tybie,Jeanne,IL,47,185,182.44
115,Briney,Wildermuth,UY,18,121,246.44
116,Cassondra,O'Rourke,CD,17,216,207.48
117,Courtnay,Edee,JP,44,103,237.37
118,Dotty,Marsden,SN,57,93,242.82
119,Phedra,Dowski,GU,6,72,77.28
120,Kimmy,Ahab,HU,89,94,62.83
121,Beatriz,Erlandson,BB,117,227,89.52
122,Devina,Hepsibah,VI,83,191,75.63
123,Sherrie,Erskine,FJ,9,198,136.38
124,Ingrid,Beniamino,TK,25,194,156.29
125,Valeda,Nance,SJ,41,238,74.96
126,Hildegaard,Waldron,KR,83,54,90.47
127,Max,Magnolia,BT,84,91,113.49
128,Carolina,Wind,NU,97,213,246.23
129,Wileen,Shaddock,MS,7,235,104.79
130,Cathie,Haymes,SV,69,145,127.98
131,Tilly,Dominy,LT,93,65,81.65
132,Millie,Oriana,AG,1,134,174.52
133,Flory,Charity,SN,19,27,65.38
134,Nyssa,Klemperer,CG,57,61,66.54
135,Kittie,Ax,IO,62,109,212.09
136,Briney,Faria,TD,33,129,157.9
137,Alleen,Baptlsta,AQ,39,9,223.42
138,Cassondra,Ellord,VG,47,91,197.48
139,Ethel,Obed,HN,28,179,210.42
140,Beverley,Bari,AT,15,144,195.56
141,Jeanna,Pacorro,EC,32,5,63.48
142,Ninnetta,Land,PN,97,199,144.68
143,Ariela,Rebecka,UM,86,115,64.23
144,Cathyleen,Jess,GF,28,185,70.29
145,Correy,Yuille,ID,59,32,68.45
146,Yetty,Latini,GT,75,180,113.5
147,Ardenia,Toni,SG,91,83,236.88
148,Katharina,Joachim,SR,96,39,215.71
149,Marita,Dominy,BF,36,144,51.27
150,Tami,Durante,KM,3,52,85.41
151,Riannon,Rese,MG,66,121,139.98
152,Courtnay,Carbo,PS,17,148,108.68
153,Loree,Kathie,NO,31,20,187.03
154,Jsandye,Payson,KE,65,22,225.66
155,Marika,Diogenes,AD,45,209,225.34
156,Nelle,Cyrie,GD,26,210,164.32
157,Jasmina,Mauer,JE,99,43,167.93
158,Devina,Sparhawk,AI,5,237,177.55
159,Marinna,Hachmin,EH,97,33,53.98
160,Mellicent,Estella,CO,39,222,182.51
161,Elfreda,Ricki,VU,99,49,247.59
162,Randa,Pettiford,TL,36,64,123.38
163,Blondelle,Ortrude,GY,45,16,220.14
164,Phedra,Brackely,NF,27,181,135.88
165,Mireielle,Angelis,TT,86,48,117.78
166,Vivia,Taam,VU,77,47,74.49
167,Nessie,Adore,SD,32,134,231.19
168,Silvana,Harl,NA,66,142,84.44
169,Pamella,Hermes,MY,14,162,96.24
170,Madeleine,Trey,LK,29,39,153.72
171,Aili,Thornburg,PN,70,31,153.31
172,Annecorinne,Orelee,SY,41,76,218.57
173,Rubie,Faso,NR,32,173,104.1
174,Emmey,Devlen,SG,52,58,146.03
175,Lacie,Bach,CI,30,51,167.17
176,Aurelie,Lutero,NG,102,100,132.67
177,Mahalia,Wittie,TT,4,109,215.7
178,Aryn,Alfons,ET,116,163,186.98
179,Lenna,Chobot,PW,65,80,176.16
180,Darlleen,Toffic,GR,69,75,107.71
181,Lynde,Aldric,IE,16,15,115.51
182,Celestyna,Chem,TD,109,3,149.51
183,Margalo,Wilkinson,BY,44,40,244.57
184,Hettie,Cleo,NO,32,145,246.67
185,Katleen,Wildermuth,MS,20,237,242.56
186,Maridel,Tengdin,MV,4,189,227.83
187,Beth,Tillford,AE,115,216,171.96
188,Kylynn,Lorain,JM,24,202,216.75
189,Lita,Wenoa,CO,98,14,206.07
190,Ketti,Moseley,MD,63,89,95.09
191,Suzette,Brandice,VU,70,195,87.42
192,Hettie,Garlinda,CU,49,37,165.4
193,Bobinette,Leonard,BO,85,89,118.36
194,Augustine,Lamoree,ER,47,75,211.07
195,Brandise,Orpah,AE,96,20,112.04
196,Romona,Odell,BO,88,238,51.74
197,Kittie,Orlene,BN,117,202,64.39
198,Coral,Longfellow,HU,50,183,209.19
199,Talya,Flita,YT,53,230,53.93
